iter	Logloss
0	0.6902168662
1	0.6896528146
2	0.6893476924
3	0.6885697244
4	0.6882739722
5	0.6880869137
6	0.6877506477
7	0.687635725
8	0.6874593965
9	0.6873207407
10	0.6872205143
11	0.6871906858
12	0.6871040202
13	0.6870298176
14	0.6869323548
15	0.6868199265
16	0.6866821707
17	0.686601148
18	0.6865004371
19	0.6863751554
20	0.686299118
21	0.6861077452
22	0.6859306482
23	0.6858709639
24	0.6857332993
25	0.6855922091
26	0.6854667793
27	0.6853232201
28	0.6852018977
29	0.6850825936
30	0.6849851594
31	0.6848414623
32	0.6847539186
33	0.6846223537
34	0.6844692846
35	0.6843229511
36	0.6842528893
37	0.6841177107
38	0.6839634676
39	0.6838522153
40	0.6837459106
41	0.6836487981
42	0.6835590779
43	0.6834744578
44	0.6833434956
45	0.683271072
46	0.6832268785
47	0.6831435128
48	0.6830429874
49	0.6829824231
50	0.6828085182
51	0.6826769103
52	0.6825603202
53	0.6823932716
54	0.6823253133
55	0.6822720878
56	0.6821203824
57	0.6820709687
58	0.6819887709
59	0.6818893729
60	0.6817535236
61	0.6816250731
62	0.6814795833
63	0.6813873133
64	0.681241327
65	0.6811084632
66	0.6810026055
67	0.6808792409
68	0.6808117747
69	0.6806923471
70	0.6805910373
71	0.6804389451
72	0.6803277104
73	0.6802126338
74	0.6800919572
75	0.6799817867
76	0.6798441279
77	0.6797820226
78	0.6797022687
79	0.6795328181
80	0.6794301266
81	0.6793584433
82	0.679220572
83	0.6790481984
84	0.6788752487
85	0.6787823686
86	0.6786737486
87	0.6785268244
88	0.6784472783
89	0.6783606726
90	0.6782838072
91	0.678115571
92	0.6780885433
93	0.6779602294
94	0.6778771033
95	0.6777628232
96	0.6776473137
97	0.6775382046
98	0.6774240298
99	0.6773860577
