iter	Passed	Remaining
0	6	663
1	14	694
2	21	699
3	29	704
4	37	708
5	44	701
6	52	699
7	59	685
8	66	675
9	74	668
10	81	655
11	89	654
12	96	649
13	104	643
14	112	635
15	119	629
16	126	619
17	134	611
18	141	603
19	149	596
20	156	588
21	163	580
22	171	574
23	179	567
24	186	558
25	193	551
26	201	543
27	208	536
28	216	529
29	223	521
30	231	514
31	238	507
32	246	499
33	253	492
34	262	487
35	269	479
36	277	472
37	285	465
38	291	456
39	299	449
40	306	440
41	312	431
42	320	424
43	327	416
44	335	410
45	343	402
46	350	394
47	357	386
48	364	379
49	371	371
50	379	364
51	386	357
52	394	349
53	401	341
54	407	333
55	415	326
56	421	318
57	429	311
58	437	303
59	444	296
60	451	288
61	459	281
62	466	274
63	473	266
64	479	258
65	487	251
66	494	243
67	501	236
68	509	228
69	516	221
70	523	213
71	530	206
72	537	198
73	544	191
74	551	183
75	558	176
76	565	168
77	571	161
78	580	154
79	587	146
80	595	139
81	601	132
82	608	124
83	616	117
84	623	109
85	630	102
86	637	95
87	644	87
88	652	80
89	659	73
90	668	66
91	676	58
92	684	51
93	692	44
94	699	36
95	706	29
96	714	22
97	721	14
98	728	7
99	734	0
